会社No.,カンパニー名,部門No.,部門名,部No.,部名称（漢字－短）,部インディケータ,課No.,課名称（漢字－短）,英文名称,課インディケータ,課インディケータ略称,営業課区分,課電話番号,課FAX番号,担当経理チームNo.,担当経理チーム名（漢字名）,担当経理電話番号,担当経理FAX番号,海外／国内区分,総平均法区分（国内）,総平均法区分（輸入）,総平均法区分（輸出）,総平均法区分（三国）,店No.,海外事務所専用No.,「請求書」Billing不要,「仕入票」Billing不要,口座合計表示,連結営業課区分,共通ログ課No.,帳票配布先1,帳票配布先2,廃止フラグ,有効開始日,有効終了日,店名称
C0S,情報・金融カンパニー,8N,情報・通信部門,B5,フロンティアビジネス部,IF,S350,フロンティアビジネス部共通口,FRONTIER BUSINESS DEP. COMMON,TOKIF,IF,,,,S007,ＩＦＭ営業経理第六室,03-3497-6419,03-3497-2299,0,,,,,2,,*,*,,,350,002JA,002JE,,2025/10/01,2026/03/31,東京本社
C0S,情報・金融カンパニー,8N,情報・通信部門,B9,情報・通信部門共通口,,S310,情報・通信部門共通口,ICT DIVISION COMMON,TOKKU,KU,3,03-3497-3216,,S007,ＩＦＭ営業経理第六室,03-3497-6419,03-3497-2299,0,,,,,2,,,,,3,310,002JA,002JB,,2025/10/01,2026/03/31,東京本社
C0S,情報・金融カンパニー,8N,情報・通信部門,B9,情報・通信部門共通口,,S311,情報・通信部門企画統轄課,PLANNING & ADMINISTRATION SECTION,TOKKU,KU,,03-3497-3216,,S007,ＩＦＭ営業経理第六室,03-3497-6419,03-3497-2299,0,,,,,2,,,,,,311,002JA,002JB,,2025/10/01,2026/03/31,東京本社
C0S,情報・金融カンパニー,8N,情報・通信部門,B9,情報・通信部門共通口,,S312,情・通部門営業サポートチーム,BUSINESS PROCESS OPERATION TEAM,TOKIW,IW,,03-3497-1342,,S007,ＩＦＭ営業経理第六室,03-3497-6419,03-3497-2299,0,,,,,2,,,,,,312,002JA,002JB,,2025/10/01,2026/03/31,東京本社
C0S,情報・金融カンパニー,8N,情報・通信部門,B9,情報・通信部門共通口,,S340,情報・通信部門Ｃ／Ｒ口,ICT DIVISION COUNTRY RISK,,,,03-3497-3216,,S007,ＩＦＭ営業経理第六室,03-3497-6419,03-3497-2299,0,,,,,2,,,,,,340,002JA,002JB,,2025/10/01,2026/03/31,東京本社
C0S,情報・金融カンパニー,8T,金融・保険部門,M2,金融ビジネス部,GC,S541,金融ビジネス第一課,FINANCIAL BUSINESS SECTION NO.1,TOKIB,IB,,,,S007,ＩＦＭ営業経理第六室,03-3497-6419,03-3497-2299,0,,,,,2,,,,,,541,002A1,002A1,,2025/10/01,2026/03/31,東京本社
C0S,情報・金融カンパニー,8T,金融・保険部門,M2,金融ビジネス部,GC,S542,金融ビジネス第二課,FINANCIAL BUSINESS SECTION NO.2,TOKIA,IA,,,,S007,ＩＦＭ営業経理第六室,03-3497-6419,03-3497-2299,0,,,,,2,,,,,,542,002A1,002A1,,2025/10/01,2026/03/31,東京本社
C0S,情報・金融カンパニー,8T,金融・保険部門,M2,金融ビジネス部,GC,S550,金融ビジネス部共通口,FINANCIAL BUSINESS DEPARTMENT,TOKGC,GC,,,,S007,ＩＦＭ営業経理第六室,03-3497-6419,03-3497-2299,0,,,,,2,,,,,,550,002A1,002A1,,2025/10/01,2026/03/31,東京本社
C0S,情報・金融カンパニー,8T,金融・保険部門,M3,保険ビジネス部,GT,S543,保険ビジネス第一課（海上保険口,INSURANCE BUSINESS SECTION NO.1 MARINE AC,TOKIE,IE,,,,S007,ＩＦＭ営業経理第六室,03-3497-6419,03-3497-2299,0,,,,,2,,,,,,543,002A1,002A1,,2025/10/01,2026/03/31,東京本社
C0S,情報・金融カンパニー,8T,金融・保険部門,M3,保険ビジネス部,GT,S544,保険ビジネス第一課（貿易保険口,INSURANCE BUSINESS SECTION NO.1 CREDIT AC,TOKOL,OL,,,,S007,ＩＦＭ営業経理第六室,03-3497-6419,03-3497-2299,0,,,,,2,,,,,,544,002A1,002A1,,2025/10/01,2026/03/31,東京本社
C0S,情報・金融カンパニー,8T,金融・保険部門,M3,保険ビジネス部,GT,S547,保険ビジネス第一課（ノンマリン,INSURANCE BUSINESS  SECTION NO.1 NON-MARINE AC,TOKWO,WO,,,,S007,ＩＦＭ営業経理第六室,03-3497-6419,03-3497-2299,0,,,,,2,,,,,,547,002A1,002A1,,2025/10/01,2026/03/31,東京本社
C0S,情報・金融カンパニー,8T,金融・保険部門,M3,保険ビジネス部,GT,S548,保険ビジネス第二課,INSURANCE BUSINESS  SECTION NO.2,TOKIM,IM,,,,S007,ＩＦＭ営業経理第六室,03-3497-6419,03-3497-2299,0,,,,,2,,,,,,548,002A1,002A1,,2025/10/01,2026/03/31,東京本社
C0S,情報・金融カンパニー,8T,金融・保険部門,M3,保険ビジネス部,GT,S549,保険ビジネス第三課,INSURANCE BUSINESS  SECTION NO.3,TOKIU,IU,,,,S007,ＩＦＭ営業経理第六室,03-3497-6419,03-3497-2299,0,,,,,2,,,,,,549,002A1,002A1,,2025/10/01,2026/03/31,東京本社
C0S,情報・金融カンパニー,8T,金融・保険部門,M3,保険ビジネス部,GT,S566,保険ビジネス部共通口,INSURANCE BUSINESS  DEPARTMENT,TOKGT,GT,,,,S007,ＩＦＭ営業経理第六室,03-3497-6419,03-3497-2299,0,,,,,2,,,,,,566,002A1,002A1,,2025/10/01,2026/03/31,東京本社
C0S,情報・金融カンパニー,8T,金融・保険部門,M9,金融・保険部門共通口,GR,S200,金融・保険部門企画統轄課,PLANNING & ADMINISTRATION SEC. COMMON A/C,TOKGR,GR,,,,S007,ＩＦＭ営業経理第六室,03-3497-6419,03-3497-2299,0,,,,,2,,,,,,200,002A1,002A1,,2025/10/01,2026/03/31,東京本社
C0S,情報・金融カンパニー,8T,金融・保険部門,M9,金融・保険部門共通口,GR,S210,金融・保険部門共通口経費口,FINANCIAL & INSURANCE BIZ DIV. COMMON A/C,TOKGR,GR,3,,,S007,ＩＦＭ営業経理第六室,03-3497-6419,03-3497-2299,0,,,,,2,,,,,3,210,002A1,002A1,,2025/10/01,2026/03/31,東京本社
C0S,情報・金融カンパニー,8Z,情報・金融経営企画部,N3,情報・金融共通口,,S001,プレジデント経費口,PRESIDENT EXPENSE A/C,TOKZO,ZO,,,,S007,ＩＦＭ営業経理第六室,03-3497-6419,03-3497-2299,0,,,,,2,,,,,,1,002V1,002V1,,2025/10/01,2026/03/31,東京本社
C0S,情報・金融カンパニー,8Z,情報・金融経営企画部,N3,情報・金融共通口,,S003,情報・金融Ｍ＆Ｒ室,MONITOR & REVIEW SECTION,TOKAU,AU,,,,S007,ＩＦＭ営業経理第六室,03-3497-6419,03-3497-2299,0,,,,,2,,,,,,3,002V1,002V1,,2025/10/01,2026/03/31,東京本社
C0S,情報・金融カンパニー,8Z,情報・金融経営企画部,N5,情報・金融経営企画部,,S004,情報・金融経営企画部,PLANNING & ADMINISTRATION DEPARTMENT,TOKZW,ZW,2,,,S007,ＩＦＭ営業経理第六室,03-3497-6419,03-3497-2299,0,,,,,2,,,,,2,4,002V1,002V1,,2025/10/01,2026/03/31,東京本社
C0S,情報・金融カンパニー,8Z,情報・金融経営企画部,N5,情報・金融経営企画部,,S005,情報・金融情報経費口,IT SOLUTION SECTION,TOKZI,ZI,,,,S007,ＩＦＭ営業経理第六室,03-3497-6419,03-3497-2299,0,,,,,2,,,,,,5,002V1,002V1,,2025/10/01,2026/03/31,東京本社
C0S,情報・金融カンパニー,8Z,情報・金融カンパニーCFO,N7,情報・金融カンパニーＣＦＯ,,S006,ＣＦＯ経費口,CFO EXPENSE A/C,TOKXK,XK,,,,S007,ＩＦＭ営業経理第六室,03-3497-6419,03-3497-2299,0,,,,,2,,,,,,6,002V1,002V1,,2025/10/01,2026/03/31,東京本社
C0S,情報・金融カンパニー,8Z,情報・金融カンパニーCFO,N7,情報・金融カンパニーＣＦＯ,,S007,情報・金融経理室,BUSINESS ACCOUNTING & CONTROL SECTION,TOKXN,XN,,,,S007,ＩＦＭ営業経理第六室,03-3497-6419,03-3497-2299,0,,,,,2,,,,,,7,002V1,002V1,,2025/10/01,2026/03/31,東京本社
C0S,情報・金融カンパニー,8Z,情報・金融カンパニーCFO,N7,情報・金融カンパニーＣＦＯ,,S009,情報・金融事業・リスク管理室,RISK MANAGEMENT & AFFILIATE ADMINISTRATION SECTION,TOKCN,CN,,,,S007,ＩＦＭ営業経理第六室,03-3497-6419,03-3497-2299,0,,,,,2,,,,,,9,002V1,002V1,,2025/10/01,2026/03/31,東京本社
